descripcion	canntidad	valor	fecha							
ATUN SOBERANA    	1	6200	13/04/2025							
CAFE SELLO ROJ   	1	15800	13/04/2025							
MARGARINA LA P   	1	6650	13/04/2025							
CREMA DE LECHE   	1	5100	13/04/2025							
ESPONJA ORO PL   	1	1600	13/04/2025							
ESPONJA ORO PL   	1	1600	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
COCA COLA ZERO   	1	5500	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
ARROZ ROA ARRO   	1	53250	13/04/2025							
ACEITE CAMPO S   	1	20950	13/04/2025							
ACEITE CAMPO S   	1	20950	13/04/2025							
ACEITE CAMPO S   	1	20950	13/04/2025							
GASEOSA POSTOB   	1	3000	13/04/2025							
ROTHMANS BLANC   	1	4200	13/04/2025							
CHOCOLATINA SN   	1	4900	13/04/2025							
COSTE?A BACANA   	1	15600	13/04/2025							
COLA & POLA LA   	1	2200	13/04/2025							
COLA & POLA LA   	1	2200	13/04/2025							
COCA COLA 1.5    	1	5700	13/04/2025							
TODO RICO B.Q    	1	2800	13/04/2025							
SALSA BAR B-Q    	1	1700	13/04/2025							
PAN BIMBO BLAN   	1	6800	13/04/2025							
DORITOS MEGAQU   	1	3800	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
COLOMBIANA CER   	1	5000	13/04/2025							
CIGARRILLO L&M   	1	4200	13/04/2025							
ACEITE DIANA C   	1	4600	13/04/2025							
JUGO DEL VALLE   	1	5500	13/04/2025							
COSTE?A BACANA   	1	15600	13/04/2025							
HELADO CASERO    	1	2000	13/04/2025							
DETER ARIEL RE   	1	5500	13/04/2025							
SERVILLETA PRA   	1	2500	13/04/2025							
CLOROX CTE X 4   	1	1650	13/04/2025							
PH FAMILIA EXP   	1	2550	13/04/2025							
AROMATEL MANZA   	1	1750	13/04/2025							
SH PANTENE RES   	1	1000	13/04/2025							
SH PANTENE RES   	1	1000	13/04/2025							
SH PANTENE RES   	1	1000	13/04/2025							
ACONDI PANTENE   	1	1000	13/04/2025							
ACONDI PANTENE   	1	1000	13/04/2025							
BOLSA FAMILIAR   	1	2300	13/04/2025							
LECHE COORA EN   	1	3450	13/04/2025							
